"matchID","season","round","homeTeam","awayTeam","gameDuration_s"
"2016-08-13_R21_Hawthorn-v-North Melbourne",2016,21,"Hawthorn","North Melbourne",7085
"2016-08-13_R21_Greater Western Sydney-v-West Coast",2016,21,"Greater Western Sydney","West Coast",7982
"2016-08-13_R21_St Kilda-v-Sydney",2016,21,"St Kilda","Sydney",7404
"2016-08-13_R21_Port Adelaide-v-Melbourne",2016,21,"Port Adelaide","Melbourne",7214
"2016-08-14_R21_Essendon-v-Gold Coast",2016,21,"Essendon","Gold Coast",6702
"2016-08-14_R21_Richmond-v-Geelong",2016,21,"Richmond","Geelong",6888
"2016-08-14_R21_Fremantle-v-Adelaide",2016,21,"Fremantle","Adelaide",7444
"2016-08-19_R22_West Coast-v-Hawthorn",2016,22,"West Coast","Hawthorn",7366
"2016-08-20_R22_North Melbourne-v-Sydney",2016,22,"North Melbourne","Sydney",6938
"2016-08-20_R22_Richmond-v-St Kilda",2016,22,"Richmond","St Kilda",6673
"2016-08-20_R22_Collingwood-v-Gold Coast",2016,22,"Collingwood","Gold Coast",7268
"2016-08-20_R22_Port Adelaide-v-Adelaide",2016,22,"Port Adelaide","Adelaide",7852
"2016-08-21_R22_Carlton-v-Melbourne",2016,22,"Carlton","Melbourne",6693
"2016-08-21_R22_Brisbane Lions-v-Geelong",2016,22,"Brisbane","Geelong",7433
"2016-08-21_R22_Essendon-v-Western Bulldogs",2016,22,"Essendon","Western Bulldogs",6895
"2016-08-26_R23_Adelaide-v-West Coast",2016,23,"Adelaide","West Coast",7219
"2016-08-27_R23_Geelong-v-Melbourne",2016,23,"Geelong","Melbourne",7366
"2016-08-27_R23_Essendon-v-Carlton",2016,23,"Essendon","Carlton",6826
"2016-08-27_R23_Sydney-v-Richmond",2016,23,"Sydney","Richmond",7201
"2016-08-27_R23_North Melbourne-v-Greater Western Sydney",2016,23,"North Melbourne","Greater Western Sydney",7166
"2016-08-27_R23_Gold Coast-v-Port Adelaide",2016,23,"Gold Coast","Port Adelaide",6965
"2016-08-28_R23_St Kilda-v-Brisbane Lions",2016,23,"St Kilda","Brisbane",7699
"2016-08-28_R23_Hawthorn-v-Collingwood",2016,23,"Hawthorn","Collingwood",7284
"2016-08-28_R23_Fremantle-v-Western Bulldogs",2016,23,"Fremantle","Western Bulldogs",6857
